t,x
0.241592,1.434
0.24185,1.434
0.242109,1.438
0.242368,1.438
0.242627,1.438
0.242886,1.442
0.243146,1.442
0.243404,1.442
0.243664,1.446
0.243923,1.446
0.244181,1.446
0.24444,1.45
0.244699,1.45
0.244958,1.45
0.245217,1.454
0.245476,1.454
0.245734,1.454
0.245993,1.458
0.246252,1.458
0.24651,1.458
0.246769,1.462
0.247028,1.462
0.247286,1.462
0.247545,1.466
0.247804,1.466
0.248062,1.466
0.248321,1.47
0.24858,1.47
0.248838,1.47
0.249097,1.474
0.249356,1.474
0.249614,1.474
0.249873,1.478
0.250132,1.478
0.25039,1.478
0.250649,1.482
0.250908,1.482
0.251166,1.482
0.251425,1.486
0.251684,1.486
0.251942,1.486
0.252201,1.486
0.25246,1.49
0.252718,1.49
0.252977,1.49
0.253236,1.494
0.253495,1.494
0.253753,1.494
0.254013,1.498
0.254271,1.498
0.25453,1.498
0.254789,1.502
0.255047,1.502
0.255306,1.502
0.255566,1.506
0.255824,1.506
0.256082,1.506
0.256342,1.51
0.2566,1.51
0.256859,1.51
0.257118,1.514
0.257377,1.514
0.257635,1.514
0.257895,1.518
0.258153,1.518
0.258412,1.518
0.258671,1.522
0.25893,1.522
0.259188,1.522
0.259448,1.526
0.259706,1.526
0.259964,1.526
0.260224,1.53
0.260482,1.53
0.260741,1.53
0.261,1.534
0.261259,1.534
0.261517,1.534
0.261777,1.538
0.262035,1.538
0.262293,1.538
0.262553,1.542
0.262811,1.542
0.26307,1.542
0.263329,1.546
0.263588,1.546
0.263846,1.546
0.264105,1.55
0.264364,1.55
0.264622,1.55
0.264881,1.554
0.26514,1.554
0.265398,1.554
0.265658,1.558
0.265916,1.558
0.266174,1.558
0.266434,1.562
0.266692,1.562
0.26695,1.562
0.26721,1.566
0.267468,1.566
0.267727,1.566
0.267986,1.57
0.268245,1.57
0.268503,1.57
0.268762,1.574
0.269021,1.574
0.269279,1.574
0.269538,1.578
0.269797,1.578
0.270055,1.578
0.270315,1.582
0.270573,1.582
0.270832,1.582
0.271091,1.586
0.27135,1.586
0.271608,1.586
0.271868,1.59
0.272126,1.59
0.272385,1.59
0.272644,1.594
0.272903,1.594
0.273161,1.594
0.273421,1.598
0.273679,1.598
0.273938,1.598
0.274197,1.602
0.274456,1.602
0.274714,1.602
0.274973,1.606
0.275232,1.606
0.27549,1.606
0.27575,1.61
0.276009,1.61
0.276268,1.61
0.276527,1.614
0.276787,1.614
0.277046,1.614
0.277305,1.618
0.277564,1.618
0.277823,1.618
0.278083,1.622
0.278342,1.622
0.278601,1.622
0.27886,1.626
0.279119,1.626
0.279378,1.626
0.279637,1.63
0.279897,1.63
0.280155,1.63
0.280414,1.634
0.280674,1.634
0.280932,1.634
0.281192,1.638
0.281451,1.638
0.281709,1.638
0.281969,1.642
0.282228,1.642
0.282487,1.642
0.282746,1.646
0.283005,1.646
0.283264,1.646
0.283523,1.65
0.283783,1.65
0.284041,1.65
0.284301,1.654
0.28456,1.654
0.284819,1.654
0.285079,1.658
0.285338,1.658
0.285597,1.658
0.285856,1.662
0.286116,1.662
0.286375,1.662
0.286635,1.662
0.286895,1.666
0.287154,1.666
0.287413,1.666
0.287673,1.67
0.287932,1.67
0.288192,1.67
0.288452,1.674
0.288711,1.674
0.288971,1.674
0.289231,1.678
0.28949,1.678
0.28975,1.678
0.29001,1.682
0.29027,1.682
0.290529,1.682
0.29079,1.686
0.291049,1.686
0.291309,1.686
0.29157,1.69
0.291829,1.69
0.292089,1.69
0.29235,1.694
0.292609,1.694
0.292869,1.694
0.29313,1.698
0.29339,1.698
0.29365,1.698
0.293911,1.702
0.29417,1.702
0.29443,1.702
0.294691,1.706
0.294951,1.706
0.295211,1.706
0.295472,1.71
0.295732,1.71
0.295992,1.71
0.296254,1.714
0.296513,1.714
0.296774,1.714
0.297035,1.718
0.297295,1.718
0.297555,1.718
0.297817,1.722
0.298077,1.722
0.298337,1.722
0.298599,1.726
0.298859,1.726
0.299119,1.726
0.299381,1.73
0.299641,1.73
0.299902,1.73
0.300163,1.734
0.300424,1.734
0.300684,1.734
0.300946,1.738
0.301206,1.738
0.301467,1.738
0.301728,1.742
0.301989,1.742
0.302249,1.742
0.302511,1.746
0.302772,1.746
0.303032,1.746
0.303294,1.75
0.303555,1.75
0.303815,1.75
0.304077,1.754
0.304338,1.754
0.304599,1.754
0.304861,1.758
0.305121,1.758
0.305382,1.758
0.305644,1.762
0.305905,1.762
0.306166,1.762
0.306428,1.766
0.306689,1.766
0.30695,1.766
0.307212,1.77
0.307473,1.77
0.307734,1.77
0.307996,1.774
0.308257,1.774
0.308518,1.774
0.30878,1.778
0.309042,1.778
0.309303,1.778
0.309565,1.782
0.309826,1.782
0.310087,1.782
0.31035,1.786
0.310611,1.786
0.310872,1.786
0.311135,1.79
0.311396,1.79
0.311657,1.79
0.31192,1.794
0.312181,1.794
0.312443,1.794
0.312705,1.798
0.312967,1.798
0.313228,1.798
0.313491,1.802
0.313752,1.802
0.314014,1.802
0.314277,1.806
0.314538,1.806
0.3148,1.806
0.315063,1.81
0.315324,1.81
0.315585,1.81
0.315848,1.814
0.31611,1.814
0.316371,1.814
0.316634,1.818
0.316896,1.818
0.317158,1.818
0.317421,1.822
0.317684,1.822
0.317946,1.822
0.318209,1.826
0.318471,1.826
0.318733,1.826
0.318996,1.83
0.319258,1.83
0.31952,1.83
0.319783,1.834
0.320045,1.834
0.320307,1.834
0.32057,1.838
0.320832,1.838
0.321094,1.838
0.321357,1.842
0.321619,1.842
0.321881,1.842
0.322144,1.846
0.322407,1.846
0.322668,1.846
0.322931,1.85
0.323194,1.85
0.323455,1.85
0.323718,1.854
0.323981,1.854
0.324243,1.854
0.324505,1.858
0.324768,1.858
0.32503,1.858
0.325293,1.862
0.325555,1.862
0.325817,1.862
0.32608,1.866
0.326343,1.866
0.326604,1.866
0.326867,1.87
0.32713,1.87
0.327392,1.87
0.327655,1.874
0.327918,1.874
0.32818,1.874
0.328443,1.878
0.328705,1.878
0.328967,1.878
0.32923,1.882
0.329493,1.882
0.329755,1.882
0.330018,1.886
0.330281,1.886
0.330544,1.886
0.330807,1.89
0.33107,1.89
0.331332,1.89
0.331595,1.894
0.331858,1.894
0.332121,1.894
0.332384,1.894
0.332647,1.898
0.33291,1.898
0.333173,1.898
0.333436,1.902
0.333699,1.902
0.333962,1.902
0.334226,1.906
0.334488,1.906
0.334752,1.906
0.335016,1.91
0.335278,1.91
0.335542,1.91
0.335806,1.914
0.336068,1.914
0.336332,1.914
0.336596,1.918
0.336859,1.918
0.337122,1.918
0.337386,1.922
0.337649,1.922
0.337913,1.922
0.338177,1.926
0.33844,1.926
0.338704,1.926
0.338968,1.93
0.339231,1.93
0.339495,1.93
0.33976,1.934
0.340023,1.934
0.340287,1.934
0.340551,1.938
0.340814,1.938
0.341078,1.938
0.341343,1.942
0.341606,1.942
0.34187,1.942
0.342135,1.946
0.342399,1.946
0.342663,1.946
0.342928,1.95
0.343191,1.95
