x,y,rho
0.26758,0.0097656,1
0.27539,0.0097656,1
0.2832,0.0097656,1
0.29102,0.0097656,1
0.29883,0.0097656,1
0.30664,0.0097656,1
0.31445,0.0097656,1
0.32227,0.0097656,1
0.33008,0.0097656,1
0.33789,0.0097656,1
0.3457,0.0097656,1
0.35352,0.0097656,1
0.36133,0.0097656,1
0.36914,0.0097656,1
0.37695,0.0097656,1
0.38477,0.0097656,1
0.39258,0.0097656,1
0.40039,0.0097656,1
0.4082,0.0097656,1
0.41602,0.0097656,1
0.42383,0.0097656,1
0.43164,0.0097656,1
0.43945,0.0097656,1
0.44727,0.0097656,1
0.45508,0.0097656,1
0.46289,0.0097656,1
0.4707,0.0097656,1
0.47852,0.0097656,1
0.48633,0.0097656,1
0.49414,0.0097656,1
0.50195,0.0097656,1
0.50977,0.0097656,1
0.51758,0.0097656,1
0.52539,0.0097656,1
0.5332,0.0097656,1
0.54102,0.0097656,1
0.54883,0.0097656,1
0.55664,0.0097656,1
0.56445,0.0097656,1
0.57227,0.0097656,1
0.58008,0.0097656,1
0.58789,0.0097656,1
0.5957,0.0097656,1
0.60352,0.0097656,1
0.61133,0.0097656,1
0.61914,0.0097656,1
0.62695,0.0097656,1
0.63477,0.0097656,1
0.64258,0.0097656,1
0.65039,0.0097656,1
0.6582,0.0097656,1
0.66602,0.0097656,1
0.67383,0.0097656,1
0.68164,0.0097656,1
0.68945,0.0097656,1
0.69727,0.0097656,1
0.70508,0.0097656,1
0.71289,0.0097656,0.999999
0.7207,0.0097656,0.999951
0.72852,0.0097656,0.997153
0.73633,0.0097656,0.984558
0.74414,0.0097656,0.965602
0.75195,0.0097656,0.942695
0.75977,0.0097656,0.917518
0.76758,0.0097656,0.891392
0.77539,0.0097656,0.865022
0.7832,0.0097656,0.838712
0.79102,0.0097656,0.812598
0.79883,0.0097656,0.786749
0.80664,0.0097656,0.761225
0.81445,0.0097656,0.735986
0.82227,0.0097656,0.711098
0.83008,0.0097656,0.686634
0.83789,0.0097656,0.662577
0.8457,0.0097656,0.638917
0.85352,0.0097656,0.615702
0.86133,0.0097656,0.592897
0.86914,0.0097656,0.570457
0.87695,0.0097656,0.548439
0.88477,0.0097656,0.52688
0.89258,0.0097656,0.505865
0.90039,0.0097656,0.485411
0.9082,0.0097656,0.465498
0.91602,0.0097656,0.446125
0.92383,0.0097656,0.427303
0.93164,0.0097656,0.409034
0.93945,0.0097656,0.391317
0.94727,0.0097656,0.374163
0.95508,0.0097656,0.357642
0.96289,0.0097656,0.341728
0.9707,0.0097656,0.326447
0.97852,0.0097656,0.311875
0.98633,0.0097656,0.298589
0.99414,0.0097656,0.282656
0.0019531,0.017578,1
0.0097656,0.017578,1
0.017578,0.017578,1
0.025391,0.017578,1
0.033203,0.017578,1
0.041016,0.017578,1
0.048828,0.017578,1
0.056641,0.017578,1
0.064453,0.017578,1
0.072266,0.017578,1
0.080078,0.017578,1
0.087891,0.017578,1
0.095703,0.017578,1
0.10352,0.017578,1
0.11133,0.017578,1
0.11914,0.017578,1
0.12695,0.017578,1
0.13477,0.017578,1
0.14258,0.017578,1
0.15039,0.017578,1
0.1582,0.017578,1
0.16602,0.017578,1
0.17383,0.017578,1
0.18164,0.017578,1
0.18945,0.017578,1
0.19727,0.017578,1
0.20508,0.017578,1
0.21289,0.017578,1
0.2207,0.017578,1
0.22852,0.017578,1
0.23633,0.017578,1
0.24414,0.017578,1
0.25195,0.017578,1
0.25977,0.017578,1
0.26758,0.017578,1
0.27539,0.017578,1
0.2832,0.017578,1
0.29102,0.017578,1
0.29883,0.017578,1
0.30664,0.017578,1
0.31445,0.017578,1
0.32227,0.017578,1
0.33008,0.017578,1
0.33789,0.017578,1
0.3457,0.017578,1
0.35352,0.017578,1
0.36133,0.017578,1
0.36914,0.017578,1
0.37695,0.017578,1
0.38477,0.017578,1
0.39258,0.017578,1
0.40039,0.017578,1
0.4082,0.017578,1
0.41602,0.017578,1
0.42383,0.017578,1
0.43164,0.017578,1
0.43945,0.017578,1
0.44727,0.017578,1
0.45508,0.017578,1
0.46289,0.017578,1
0.4707,0.017578,1
0.47852,0.017578,1
0.48633,0.017578,1
0.49414,0.017578,1
0.50195,0.017578,1
0.50977,0.017578,1
0.51758,0.017578,1
0.52539,0.017578,1
0.5332,0.017578,1
0.54102,0.017578,1
0.54883,0.017578,1
0.55664,0.017578,1
0.56445,0.017578,1
0.57227,0.017578,1
0.58008,0.017578,1
0.58789,0.017578,1
0.5957,0.017578,1
0.60352,0.017578,1
0.61133,0.017578,1
0.61914,0.017578,1
0.62695,0.017578,1
0.63477,0.017578,1
0.64258,0.017578,1
0.65039,0.017578,1
0.6582,0.017578,1
0.66602,0.017578,1
0.67383,0.017578,1
0.68164,0.017578,1
0.68945,0.017578,1
0.69727,0.017578,1
0.70508,0.017578,0.999999
0.71289,0.017578,0.999951
0.7207,0.017578,0.997158
0.72852,0.017578,0.984469
0.73633,0.017578,0.965475
0.74414,0.017578,0.944057
0.75195,0.017578,0.921653
0.75977,0.017578,0.897834
0.76758,0.017578,0.872717
0.77539,0.017578,0.847021
0.7832,0.017578,0.821261
0.79102,0.017578,0.795662
0.79883,0.017578,0.77032
0.80664,0.017578,0.7453
0.81445,0.017578,0.720624
0.82227,0.017578,0.69626
0.83008,0.017578,0.672286
0.83789,0.017578,0.648726
0.8457,0.017578,0.625566
0.85352,0.017578,0.602787
0.86133,0.017578,0.580407
0.86914,0.017578,0.558455
0.87695,0.017578,0.536909
0.88477,0.017578,0.515848
0.89258,0.017578,0.495175
0.90039,0.017578,0.474951
0.9082,0.017578,0.455321
0.91602,0.017578,0.436223
0.92383,0.017578,0.41767
